"Taxa","PC1","PC2","PC3"
9564,-0.00202256074875165,-0.0660859273010803,-0.140139514563261
9568,-0.00250308804776076,-0.0673220218924235,-0.125428992152546
9820,0.0465592996753764,-0.0248294243915074,-0.0917204518935421
9130,-0.114091753447169,0.212357647177841,0.00892815558390286
7306,0.0606751175458634,-0.0208476078920876,0.0299081672669432
9881,0.0455667874268231,-0.00764220003711999,-0.0698949257956885
9598,-0.0543896362145743,-0.021015819720738,-0.407664293687073
9343,-0.0359320816091476,-0.0526524677071424,0.0270618168759285
7130,0.0629798020908821,-0.00599522650208076,0.0226317248381144
5720,-0.0333694073291693,-0.0826550777084066,0.00854414476681915
9757,0.0348461837301827,0.0270919707601834,0.0234100063449284
7322,0.0509066757673598,0.00499423462856005,0.0345641298724926
9806,0.0552253732473343,0.00660654495356128,0.0367504830434224
8283,0.021647666849129,-0.00292145429302296,0.0429205012038433
6931,-0.117360928807357,0.201080576576448,0.000559602408161232
9798,0.0628019729049259,0.00711974904369941,0.0470659689708212
7063,0.0115127432214605,-0.00823672133753578,-0.165330431999911
6013,-0.237609733073721,-0.134747390888616,0.0586823572020027
9708,0.0224765318548168,0.0219733328762214,-0.0239049365361412
9541,0.0586273363252018,0.00117509715263288,-0.0297217380703603
6284,0.0098155874344125,-0.0100784249321631,0.0409820137766984
9843,0.0503874667617884,-0.0396902252813605,-0.0912782442376789
6992,0.0687071905184236,-0.00289640878860195,0.0307800150049207
7337,0.0448739012989968,0.00500003322541432,0.0313193217120513
7008,0.0437065578495702,-0.0111955493261918,0.0310181694411257
7372,0.0439887567119324,0.00870233084896336,0.0403482489497506
9669,0.00260260069847816,0.0194220059439387,0.0104936234081954
9759,0.0466197998855034,0.0103512071957337,-0.0106837059057761
6926,0.063278038504647,-0.0201827511217246,0.0347234834211218
9690,0.00545774250395475,0.0193826333947814,0.0126882975265146
5772,0.0612180953091807,0.00561556391222359,0.0358187894034056
9874,0.0511348955937344,-0.0296218130563784,-0.019795412867846
6255,-0.0380002883018843,-0.0479412337796916,0.0152014117170111
6959,0.0520736050344751,-0.0223164718752054,0.0311595858397105
6133,0.0199710750673227,-0.024182324436571,0.0551481179895307
9084,0.0513799726314115,0.0150916551440947,-0.0127840699735226
9332,-0.246729150415475,-0.154963605903299,0.058428098997284
7164,0.0127742904969125,-0.0153624172796878,0.0382168578763853
9942,0.00377901573986414,-0.0467193061540554,-0.147716550412848
7111,0.0390096807057616,-0.0211272317450795,0.0293263925988332
7036,0.042084422944598,-0.00139822993039964,0.0381964415760522
7346,0.0268351113508068,0.0112067428172614,0.0381070274804234
9901,0.0446851815004625,-0.0300298100335688,-0.0343405360224113
9507,0.0547456245334126,0.00357833914528166,-0.0186913053074204
9849,0.0504926281234653,-0.006287005368597,-0.0225407882623765
9133,-0.113767947956439,0.202149680714726,0.0138817562425932
9670,-0.0102084008919914,0.0228764466818625,0.00651566549668337
5151,0.0415054326867327,-0.0182577709211299,0.0304095472852245
9621,-0.163590814165578,0.291192025435808,-0.00443672290425133
9433,-0.281989215601976,-0.176049984720354,0.0627934458069882
9699,0.0366368217668132,0.0321744338146433,0.0171820952282164
4884,0.069165155671601,-0.0239579435820252,0.0321759737314877
108,0.0539985120603949,-0.0209425877514787,0.0314314990736394
159,0.0646142687874957,-0.00682092568350283,0.0295208881728706
801,0.0338392720470354,-0.0038985870792776,0.0352385595451804
9596,0.0398510694155478,-0.0037789101444549,-0.0723442886360676
9780,0.0625761780243224,0.0119907042952404,0.0387810405559091
8424,-0.136402845924081,0.248062596525079,-0.0127278582361037
8241,0.0174377814239209,0.0155510681019087,0.0519176296127602
6231,-0.272113920690214,-0.168527699277046,0.0614880398115867
9099,0.0453699609727098,0.0110690529157017,-0.0175812477637084
9882,0.0354655170759442,-0.0387275078383356,-0.111846437994927
6023,0.0170703645783233,-0.0218985570569767,0.05998466771126
6413,0.0172379925407848,-0.00241253441675789,0.0483935392424311
7525,0.0654603541660972,-0.0148011038039883,0.0361006930735395
6169,-0.250615785536206,-0.176844775871181,0.0562518465608863
9871,-0.0575630544583886,-0.0173374222053913,-0.422261621345086
915,0.0476061037952261,0.0127814707510758,0.0380432556654885
8258,-0.00538874122705876,-0.0309796500551593,0.0403915695271016
9910,0.0567502550569551,-0.0312258220183085,0.0278688194899209
2202,-0.0181237181612575,0.0708432856611305,0.0300509225452569
9658,0.0561000012168997,0.00855573212475076,0.00380541583132928
9935,0.0606064811744045,0.00338340178423163,0.00330670531230299
7248,0.0402159776980298,-0.00889271415918634,0.035524395670774
5353,0.0718750634049402,-0.0280810739218968,0.0374284698954581
6986,0.0666031434862606,-0.0250474000336315,0.0342821693030804
5486,0.0193575521519665,0.0211226955525239,0.040347481487373
9883,0.0512941534167891,-0.0274686199472973,-0.0183288405988046
9687,1.51080300464501e-05,0.0224136561582022,0.00985896266144086
9788,0.0565854596144921,0.00759064626499078,0.0456451463675434
7061,-0.0358738377186433,-0.0858787394039309,0.00702906970728411
9554,-0.0444933256551129,-0.024294277208264,-0.400900627943655
9533,-0.0508432737591336,-0.022931673084607,-0.421171595553776
9786,0.0612014530752282,0.00889310512992956,0.045104344567876
9768,0.0566683182120102,0.00981417020463276,0.0502718204145788
766,-0.148157847420276,0.272019515952129,0.0133201725529243
9713,0.0207694938579649,0.041776302435075,0.00940986929826652
7107,0.0664197423352227,-0.0225110480393032,0.0318485743366648
6192,0.0296581764198743,-0.00192528019654292,0.0394351621762993
7165,0.00200896752381897,-0.0109758782775447,0.0333840693430925
5867,0.00155360698514601,0.00899802124127574,0.0418452614152661
9801,0.0642147905161752,0.0106835095627821,0.0434400165063593
9774,0.0509167706796615,0.0165192933762667,0.0427906335066757
630,0.0444481292769657,-0.013022350207553,0.0324678885542016
9540,0.0449184759351663,-0.0241285562313491,-0.0433623426310217
9404,0.0109693880373816,-0.0139533107571643,0.0555072213914272
7026,0.055447960466578,-0.0127459547607081,0.0345282666390051
9749,0.0262691262104412,0.033016875827951,0.017614141673386
9953,-0.157521144141007,0.280147772993176,0.00576537970906215
9928,0.0634695917816919,-0.00632098574913147,0.0250373577235884
9696,0.00848097686778044,0.0169369876784366,0.0232787466289518
9629,-0.155740285286871,0.274595344823223,0.0170655037840718
9642,-0.158827272684759,0.285906592154142,-0.00554913567522331
9982,0.0554618267246028,0.00663031944412081,0.00805571579798386
7102,0.0488352663487305,0.00698116121437088,0.0353558453593323
5856,-0.251847735400895,-0.183624782618161,0.0437411942682657
9821,0.0458996739381358,-0.0333150009747237,-0.0292052432697604
9747,0.0259988833979105,0.0222973587898628,0.0234625516685296
7103,0.0211608476457346,0.0228149179731678,0.0393898357581611
9381,-0.0426575251897369,-0.0498984684652638,0.0181699989610252
6099,0.0140770656349864,-0.0220693934252724,0.0382376409237352
9845,0.0356797490413438,-0.0453536491953023,-0.106921391992055
8326,0.0123958541025733,0.00643321337968572,0.0425062654693832
9873,0.0538032463557675,1.75126794332728e-06,-0.04244171640104
6961,0.0493989785089301,-0.0181732814751591,-0.0215321237692572
9057,0.0172216320156009,-0.00346641584200257,0.0514865122591214
6150,0.0218429207636256,-0.0219057673275577,0.0611866545917185
9799,0.0556663189739286,0.0125918141755312,0.0371455941278817
8243,0.06459465707838,0.00208456979076521,0.0296756170955082
6104,0.0130579597496831,-0.0369270558396297,0.0615905266650323
9631,-0.157851495651352,0.280130913397654,-0.00138066680642321
9729,0.0181748528601813,0.0289200742479949,0.0378746347167682
9825,0.0355567556580222,-0.0408648306424713,-0.124789636071735
9353,-0.00838155531478444,0.00781496549860956,0.03528767486989
4900,0.0733135466787589,-0.0247026570962316,0.0353107326954725
6046,-0.169647894890321,-0.13029427596585,0.0303613565218724
9339,0.00328835854707908,0.00887821028888414,0.0366116150840988
1254,-0.09373679235416,-0.0859779378747583,0.0247983773821561
5741,0.0396852484566071,-0.0254143661935212,0.0339641911038198
350,0.0695048946163338,-0.00269420922871172,0.0282624899240225
6933,0.0524422679687813,-0.0230115010708648,-0.0206430918892427
7384,0.0263442659882582,-0.0207917803126084,0.0321903859174071
9917,0.0694033902145803,-0.0113452058624152,0.0257789655648902
9991,0.0397714641818728,0.0156940008181283,-0.0152677249269406
9948,0.0211392511458151,-0.0399334383497232,-0.127977940590571
6221,-0.261090428790876,-0.189359787256773,0.0695558215281343
9388,-0.249023931367122,-0.179432611205616,0.0679454174143088
7268,0.0356485613537271,0.00905288606597972,0.0436138810858464
